,title,yes_disaster
809,NASA Black Marble Images Reveal How Long It's Taken Puerto Rico to Recover From Maria,1
810,How to Help Hurricane Florence Victims,1
811,Why Hurricane Florence Is Rapidly Intensifying and What That Means,1
812,Barbuda sees a comeback of national bird after Hurricane Irma,1
813,How Hurricane Michael became catastrophically strong overnight,1
814,Hurricane-Battered South Braces for Winter Storm and Bitter Cold,1
815,The Shutdown Is Making the U.S. Less Prepared for Hurricane Season,0
816,They Were Still Recovering from Hurricane Florence. Then Michael Came.,1
817,Critic’s Notebook: Rebuilding a Puerto Rico Barrio: ‘Dead Is the Only Way They’ll Ever Get Me to Leave’,0
818,Lake Michigan May Get Its First-Ever Tropical Cyclone Tonight,1
819,"Hurricane Maria 'killed 4,600 in Puerto Rico'",1
820,Puerto Rico hit by first island-wide blackout since Hurricane Maria,1
821,Is climate change making hurricanes worse?,1
822,"2018's hurricane season will be active, but probably not as bad as last year",1
823,Hurricane Harvey rainfall 'weighed 127bn tonnes',1
824,"Hurricane Maria death toll may be more than 4,600 in Puerto Rico",1
825,See the Potential Impact of Hurricane Florence With This Interactive Map,1
826,The Shame in Puerto Rico,1
827,A Recent Hurricane Shot a Bolt of Antimatter Toward Earth,1
828,"Times Insider: The Power of One Family’s Story, More Than a Year After Hurricane Harvey",0
829,"How Hurricane Michael Got Super Big, Super Fast",1
830,How humans are transforming the hurricanes of the future,0
831,"$3,700 Generators and $666 Sinks: FEMA Contractors Charged Steep Markups on Puerto Rico Repairs",1
832,"FEMA Was Sorely Unprepared for Puerto Rico Hurricane, Report Says",1
833,How to help Hurricane Michael survivors,1
834,NASA video shows looming Hurricane Michael from space,1
835,"After a Natural Disaster, Is It Better to Rebuild or Retreat?",1
836,"Disastrous 2017 Atlantic hurricane season ends, with hard-hit areas still reeling",1
837,US Government to Continue Funding Hurricane-Stricken Puerto Rican Telescope,1
838,"Google: Project Loon has provided internet access to 100,000 people in Puerto Rico",1
839,Hungry People and an ‘Abandoned’ Hospital: Puerto Rico Waits as Washington Bickers,1
840,"The power is out again in Puerto Rico, 7 months after Hurricane Maria",1
841,Videos from Hurricane Michael show its stunning strength,1
842,Our First Good Weather News All Summer,1
843,C.E.O. of Puerto Rico Power Authority Resigns,1
844,"After Maria, a New Crisis in Puerto Rico: Mental Health",1
845,Watch as NOAA storm hunters enter the stadium-like eye of Hurricane Lane,1
846,Hurricane Michael in Pictures,1
847,Hurricane Michael's 'Unprecedented' Threat: Liveblog,1
848,Why Hurricane Lane Poses a Major Threat to Hawaii,1
849,Puerto Rico Orders Review and Recount of Hurricane Deaths,1
850,FEMA Says It Won’t Cut Off Food and Water Aid to Puerto Rico,1
851,"New Study Estimates Hurricane Maria Death Toll in Puerto Rico Could Exceed 4,000",1
852,"After Surviving Maria, Trying to Keep Holiday Traditions Alive",1
853,Surfacing: Vietnamese Forged a Community in New Orleans. Now It May Be Fading.,1
854,Judge Orders Extension of FEMA Aid for Puerto Rican Storm Evacuees,1
855,Florida May Get a Tropical Cyclone This Week,1
856,"Space Photos of the Week: Florence, From Way Way Up Above",1
857,When They Met: That Time Andy Cohen Asked Anderson Cooper Out (and About His Mom),0
858,"Utuado Journal: Rebuilding Puerto Rico, One Small Gesture at a Time",1
859,New York Today: New York Today: Could Hurricane Florence Hit New York?,1
860,"A Year After Hurricane Harvey, Houston’s Poorest Neighborhoods Are Slowest to Recover",1
861,How to Watch Live Footage of Hurricane Florence,0
862,How to Safeguard Your Electronics in a Hurricane,1
863,Report: Hurricane Michael's Storm Surge Dredged Up 119-Year-Old Vessels Wrecked By Carrabelle Hurricane,1
864,Thousands of Hondurans to Lose Protected Status in the U.S.,0
865,Hurricane Lane: Hawaii Battered by Rain as Category 4 Storm Bears Down,1
866,Puerto Rico's Humanitarian Crisis Takes on New Urgency With Alarming Death Counts,1
867,Lessons From Hurricane Harvey: Houston’s Struggle Is America’s Tale,1
868,A Bittersweet Journey Back to Puerto Rico After Maria,1
869,NASA photo shows where Hurricane Michael turned out the lights,1
870,Developers Said Their Homes Were Out of a Flood Zone. Then Harvey Came.,1
871,Alberto: Tropical storm sees thousands from Florida coast,1
872,FCC proposes $954 million to restore Puerto Rico's telecom networks,1
873,White Man Sentenced to 10 Years for Shooting Black Men After Hurricane Katrina,0
874,"This Atlantic hurricane season may be quieter than expected, and no one's complaining",1
875,"California’s Fires, by the Numbers",1
876,Astronaut captures photos of ominous-looking Hurricane Florence from space,1
877,What Tech Has—and Hasn’t—Done for Puerto Rico,1
878,Hurricane Florence: Trump issues warning as storm strengthens,1
879,The ‘Greatest Hoax’ Strikes Florida,1
880,Best of Late Night: Trump’s ‘Hamberders’ Tweet Becomes Fodder for Late-Night Laughs,0
881,"Florence Is a Hurricane Again, Projected to Hit East Coast Near Category 4 Strength",1
882,"The death count for Hurricane Maria, currently at 64, may be off by thousands",1
883,Photos of Hurricane Lane from space show the extreme size of the monster storm,1
884,How to Get Through Airport Security More Easily If Your Kids Have Special Needs,0
885,Subtropical Storm Alberto Makes Landfall as Florida Braces for Rain,1
886,"Commission Impossible, part two: How enemies gathered around net neutrality",0
887,"Oh No, Trump Is Buzzing!",0
888,The Central U.S. Is About to Get Hit With a Bomb Cyclone,0
889,Scientists: Maybe If We Only Dim the Sun a Little It Won’t Backfire Horribly,0
890,"Alarming Number of Americans Think Climate-Change Deniers Deserve to Get Hit by Natural Disasters, Survey Finds",1
891,Our First Solid Evidence For What Climate Change Did to Hurricane Harvey,1
892,"Cyclone Idai Poised to Become Southern Hemisphere’s Deadliest Tropical Storm, With More Than 1,000 Feared Dead",1
893,Hurricane Maria is the deadliest storm of the 21st century,1
894,We may never see a hurricane season worse than the one that brought us Katrina,1
895,How Hurricane Florence overcame big odds to target the East Coast,1
896,Why the Atlantic Hurricane Season Is Suddenly Heating Up,1
897,Stunning Aerosol Visualization Accidentally Captures the Ferocity of This Year’s Hurricane Season,1
898,Puerto Rico's emergency director resigns,1
899,"Google’s year in search 2018: the World Cup, Fortnite GIFs and Bitcoin",0
900,"Puerto Rican Storm Victim Gets Her Power Back, Nearly a Year After Hurricane Maria",1
901,This Brooklyn Architect Wants to Rewire Puerto Rico with Solar,1
902,The Hurricane Holdouts Who Never Leave Now Face a ‘Monster’ Storm,1
903,Why Storm Surges Are Such a Big Deal,1
904,"Hurricane Florence Strengthening and Targeting the Southeast Coast, Forecasters Say",1
905,Google’s year in search finds people ready to take action,0
906,"Growth Has Lifted Counties That Voted for Trump. Mostly, It’s the Wealthy Ones.",0
907,"Your Tuesday News Briefing: Hurricane Florence, Syria, Serena Williams Cartoon",1
908,"Hurricane Michael’s Destruction, Viewed From Above",1
909,After the Hurricane Came the Con,1
910,"Hurricane Lane weakens to tropical storm, but threat of flash flooding leaves Hawaii on edge",1
911,Protesters Demand Audit of Hurricane Maria Death Toll in Puerto Rico,1
912,Ambitious Plan to Fix New York Subway Is Already Facing Obstacles,0
913,"Special Report: In Puerto Rico, a housing crisis U.S. storm aid won't solve",1
914,"Sears, N.F.L., Meghan Markle: Your Monday Briefing",0
915,"Hurricane Michael, Kanye West, Jamal Khashoggi: Your Thursday Briefing",1
916,A Small Town Braces for Another Storm,1
917,"Hurricane Michael, Georgia, Stock Markets: Your Friday Briefing",1
918,"As Hurricane Florence Looms, Drone Pilots Prepare for Recovery",1
919,Don’t Give Trump a Pass on Puerto Rico,0
920,Find Free Housing With Airbnb If You're Evacuating from Hurricane Florence,1
921,"Six Months After Hurricane Maria, Puerto Rico's Famous Telescope Is Still Under Threat",1
922,Samsung phones will have functioning FM chips from now on,0
923,"What Puerto Rico Is, and Isn’t, Getting in Disaster Relief",1
924,"Hurricane Beryl, First Hurricane of the 2018 Atlantic Season, Forecast to Rapidly Weaken Near Lesser Antilles - The Weather Channel",1
925,How to Not Get Scammed When Donating to Charity,0
926,Storm Leslie: Portugal hit by hurricane-force winds,1
927,Hurricane Florence makes landfall,1
928,Hurricane Michael: 'Monstrous' storm set to hit Florida,1
929,"Paul Manafort, Hawaii, Urban Meyer: Your Thursday Briefing",0
930,"Hurricane Florence Grows to Category 3, Headed for Carolinas",1
931,Bizarre Tropical Storm Florence Could Become a Hurricane and Strike the East Coast,1
932,Space pictures show hurricane heading to Hawaii,1
933,"Hurricane Lane, a Category 4 Storm, Closes In on Hawaii",1
934,Hurricane Lane Live Updates: Storm’s Slow Churn Raises Flood Danger,1
935,Hurricane Florence Updates: Storm Is Expected to Gain Strength Tuesday,1
936,Scientists Terrorized Lizards With a Leaf Blower to Study Natural Selection,0
937,"Government Can Stop Paying to House Puerto Rico Hurricane Victims, Judge Rules",1
938,"By All Appearances, They Overcame Hurricane Harvey. Appearances Are Deceiving.",1
939,Trump Visits Florida After Hurricane Michael,1
940,Watch as Florida man experiences eerie calm inside Hurricane Michael’s eye,1
941,Photos show widespread destruction in the aftermath of Hurricane Michael,1
942,Ancient Shipwrecks Are a Treasure Trove of Climate Data,1
943,Weatherman almost gets impaled by a 2x4 while covering Hurricane Michael,1
944,Verizon lifts data speed caps for wildfire responders amid backlash,0
945,Hurricane map raises eyebrows for a NSFW reason,1
946,"Hurricane Michael Intensified Quickly, Taking Many by Surprise",1
947,"Strengthening to Category 3, Hurricane Michael Aims at Florida",1
948,Hurricane Michael is primed to grow stronger and pummel the Florida coast. Here's why.,1
949,Aerial footage shows Hurricane Michael destruction,1
950,Tallying the Dead: Why a Storm Death in One State Might Not Count in Another,1
951,Incredible New NASA Images Show Puerto Rico's Forests Still Scarred From Hurricane Maria,1
952,"Europe Edition: Your Tuesday News Briefing: Lithuania, Trade, Hurricane Florence",1
953,"Your Monday News Briefing: Les Moonves, Serena Williams, Hurricane Florence",1
954,Subtropical storm Alberto whips up mini waterspout in a swimming pool,1
955,Florida City Has Been Accidentally Sending Out Zombie Alert Messages Since Hurricane Irma,1
956,These storms on Jupiter are way better than any hurricane on Earth,0
957,Puerto Rico Nervously Prepares for Hurricane Season: ‘What if Another One Comes?’,1
958,Shell knew truth of global warming in 1980s; foresaw a Hurricane Sandy scenario,1
959,"Your Friday News Briefing: Hurricane Florence, New York, ‘Predator’",1
960,"World Cup tops Google searches in 2018, tech is nowhere to be seen",0
961,Hurricane Florence: 'Extremely dangerous' storm threatens East Coast,1
962,"Hurricanes are slowing down, and that's very bad news for everyone",1
963,Michael likely to strengthen into major hurricane Tuesday: NHC,1
964,Hurricane Willa: Mexico issues warning over 'extremely dangerous' storm,1
965,Why Do Nor'easters Cause Such Bad Flooding?,1
966,Hurricane Florence: How to Help,1
967,Hurricane forecasters keeping eye on disturbance near Caribbean Sea - Chron.com,1
968,"Lin-Manuel Miranda, the Next Lion of New York",0
969,Oh My God Look at the Atlantic Ocean Right Now,0
970,First it was Harvey. Then it was Florence. Now they call him 'Hurricane Cowboy',0
971,"Puerto Rico Officials Say They're Ready for Hurricane Season, But Worries Mount",1
972,An App Built for Hurricane Harvey Is Now Saving Lives in Florida,1
973,"Trump says his response to the hurricane that killed almost 3,000 people was 'incredibly successful'",1
974,Facebook Community Help crisis tool is no longer limited to individuals,1
975,Senior Florida official quits after blackface images emerge,1
976,Florida Secretary of State Resigns After Blackface Photos Surface,1
977,Surfacing: Vietnamese Forged a Community in New Orleans. Now It May Be Fading.,0
978,When They Met: That Time Andy Cohen Asked Anderson Cooper Out (and About His Mom),0
979,How humans are transforming the hurricanes of the future,1
980,"After a Natural Disaster, Is It Better to Rebuild or Retreat?",1
981,"Tropical Storm Michael, Limousine Crash, Nobel in Economics: Your Monday Briefing",1
982,White Man Sentenced to 10 Years for Shooting Black Men After Hurricane Katrina,0
983,We may never see a hurricane season worse than the one that brought us Katrina,1
984,Weather and climate disasters cost the U.S. a record $306 billion in 2017,1
985,"Hurricanes will never be named Harvey, Irma, or Maria again",1
986,"What Puerto Rico Is, and Isn’t, Getting in Disaster Relief",1
987,How to Not Get Scammed When Donating to Charity,0
988,Behind the Hype of Walmart’s Sustainability Efforts,0
989,"Hurricane Michael Intensified Quickly, Taking Many by Surprise",1
990,Emergency on US Gulf Coast as Storm Gordon nears,1
991,Don’t Give Trump a Pass on Puerto Rico,0
992,The ‘Greatest Hoax’ Strikes Florida,1
993,Why Do People Stay When a Hurricane Comes?,1
994,What Tech Has—and Hasn’t—Done for Puerto Rico,1
995,Hungry People and an ‘Abandoned’ Hospital: Puerto Rico Waits as Washington Bickers,1
996,Hurricane Maria is the deadliest storm of the 21st century,1
997,Stephen King uses Bush comparison to slam Trump on Twitter,0
998,"Government Can Stop Paying to House Puerto Rico Hurricane Victims, Judge Rules",1
999,Meet the Unlikely Hero Who Predicted Hurricane Harvey's Floods,1
1000,"What FEMA Is Doing, and Not Doing, in Response to California’s Fires",1
1001,Puerto Rico Orders Review and Recount of Hurricane Deaths,1
1002,How Hurricane Michael Revealed the Forgotten Victims of Climate Change,1
1003,Is climate change making hurricanes worse?,0
1004,"Who Is LaToya Cantrell, New Orleans’s First Female Mayor?",0
1005,A Fire Killed 32 at a New Orleans Gay Bar. This Artist Didn’t Forget.,1
1006,LaToya Cantrell Becomes New Orleans’ First Female Mayor,0
1007,There's a Six Flags in New Orleans that has been abandoned for 13 years — and the photos are haunting,0
1008,Exploring the Future of Our Cities,0
1009,"Along the Border, a New Kind of Criminal Floods Federal Courts: Immigrants",0
1010,Florida’s Top Elections Official Resigns After Blackface Photos of Him Emerge,0
1011,The most intense hurricanes to hit the United States,1
1012,How Offense Took Over the N.F.L.,0
1013,Post-Katrina promise of oil money leaves states shortchanged,0
1014,"Trump says his response to the hurricane that killed almost 3,000 people was 'incredibly successful'",0
1015,"The biggest question for hurricane survivors is, 'What now?'",1
1016,"Tom Benson, Owner of the Saints and Pelicans, Dies at 90",0
1017,Florida's secretary of state has resigned after photos emerged of him wearing blackface in a costume mocking Hurricane Katrina victims,0
1018,The 11 strongest hurricanes ever to hit the Atlantic Ocean,1
1019,"After Hurricane, Signs of a Mental Health Crisis Haunt Puerto Rico",1
1020,Florida's Secretary of State resigns after discovery of blackface photos,1
1021,"After Disastrous Hawaii Incident, Senators Propose Ending States' Power to Send Missile Alerts",1
1022,Surge in Domestic Violence Feared in Wake of Hurricane Michael,1
1023,Florida Secretary of State Resigns After Photos Emerge of Him Posing in Blackface As a Katrina Victim,0
1024,The revised death toll in Puerto Rico makes Trump's comparison to Katrina look even worse - Washington Post,1
1025,What Is a Red Tide?,0
1026,A veteran reporter who covered Hurricane Katrina has a grim warning for anyone in Hurricane Florence's path who doesn't evacuate,1
1027,"Kirstjen Nielsen, White House Aide, Is Confirmed as Homeland Security Secretary",0
1028,"Henry Butler, Quintessential New Orleans Pianist, Is Dead at 69",0
1029,Will He Ever Acknowledge The Massive Loss Of Life In Puerto Rico?,1
1030,"Hurricane Florence could dump 17 trillion gallons of rain. Yeah, you read that right.",1
1031,Florida secretary of state resigns after blackface images emerge,0
1032,"13 Years Later, Man Pleads Guilty for Post-Katrina Racial Shooting",0
1033,Climate Change Is Making Our Hurricane Scale Obsolete,1
1034,Tropical Storm Gordon expected to become a hurricane as it races toward US Gulf Coast - AOL,1
1035,The Pettiest Lies People Have Ever Told to Get Out of Plans,0
1036,How busy will hurricane season be in 2018? This forecast has good news and bad news - Miami Herald,1
1037,40 Most Entrepreneurial Athletes In the Game,0
1038,Kanye West says he 'wasn't given a chance' to answer Jimmy Kimmel's Trump question,0
1039,Hurricane Michael will be the strongest storm to hit the US in 50 years — more intense than Hurricane Andrew or Katrina,1
1040,"Rep. Steve King Belittles Hurricane Katrina Victims for Needing Help, Unlike Iowans",1
1041,Donald Trump's mishandling of Puerto Rico came with a human cost,1
1042,Official Hurricane Maria Death Toll Raised to Nearly 3000 - EcoWatch,1
1043,No president has seen the number of scandals Trump has,0
1044,"Hurricane Harvey is second-most costly hurricane in US history behind Katrina, report says",1
1045,"North Carolina, a ‘Slow Spender’ State, Struggles to Hand Out Storm Aid",1
1046,Florida Elections Chief Resigns Over Photos Posing As Hurricane Katrina Victim,1
1047,Man Who Shot 3 Black Men After Hurricane Katrina Dies After Sentencing,0
1048,Michael shuts over a third of U.S. Gulf of Mexico natgas output,1
1049,A New Jersey man may lose limbs and is fighting for his life because of flesh-eating bacteria — here's what to know about the condition,0
1050,An unstoppable Florence meets Trump's immovable Washington - Washington Post,1
1051,Trump Reportedly Talked About Everything But Puerto Rico Deaths In FEMA Meeting,1
1052,"Storm Gordon hits near Alabama-Mississippi border, seen weakening",1
1053,Op-Ed Columnist: The Content of the G.O.P.’s Character,0
1054,Climate Change's Looming Mental Health Crisis,0
1055,"$300,000,000,000+: 2017's American ""natural disaster"" bill was by far the highest in history",1
1056,Case Closed: Preservation Hall's Missing Sousaphone Is Returned,1
1057,Fact check: President Trump misleads on disaster aid to Puerto Rico after Hurricane Maria,1
1058,"Deadly, extremely active 2017 Atlantic hurricane season ends today",1
1059,"Hurricane names Harvey, Irma, Maria and Nate now 'officially retired'",1
1060,9 new trailers you should watch this week,0
1061,The NOAA’s 2018 Hurricane Forecast Is Out. There’s a Good Reason to Trust It,1
1062,Spike Lee Is at His Searing Best With 'BlacKkKlansman',0
1063,White House spokesperson Hogan Gidley calls Puerto Rico — a US territory — 'that country' while defending Trump's treatment of the island,1
1064,Advice for After the Hurricane,1
1065,How This Husband-and-Wife Team Grew a B&B Empire,0
1066,"Robert Mugabe, Roy Moore, Republican Party: Your Weekend Briefing",1
1067,Lifeguard drone in Australia saves two boys on its first day of service,1
1068,Hurricane Michael could push a dangerous 'red tide' algae bloom inland — where people could breathe in the toxins,1
1069,"As new hurricane season starts, remember the 4,645 Puerto Rico deaths",1
1070,Valley residents in flood zones urged to be on alert as Hurricane Rosa churns off of Baja - AZFamily,1
1071,"As new hurricane season starts, remember the 4,645 Puerto Rico deaths",1
1072,Trump to get 2018 hurricane briefing amid Puerto Rico death toll controversy,1
1073,"After Hurricane Michael, Panama City residents cope with no power, cash-only transactions and baby-wipe showers - Washington Post",1
1074,Jason Van Dyke Sentenced to Nearly 7 Years for Murdering Laquan McDonald,1
1075,Brad Pitt's post-Katrina housing project faces even more backlash after residents discover their homes are rotting and caving in,1
1076,Trump Has Only Love For Disaster Victims — Unless They Are Puerto Ricans,1
1077,"How to hurricane-proof your home, according to an architect who designs homes that could withstand Category 4 hurricanes",1
1078,"A woman spotted her relatives' call for 'HELP' in photos NOAA took of Hurricane Michael's aftermath, and the program could revolutionize the way people are rescued after disasters",1
1079,"Harry Anderson, Judge On 'Night Court,' Dies At His N.C. Home. He Was 65",0
1080,"New Study Finds Hurricane Maria’s Death Toll in Puerto Rico Likely More than 4,600",1
1081,The Army's 'Hurricane Hunters' that just flew through Hurricane Florence started as a dare,1
1082,US Natural Disasters In 2017 Were Expensive AF,1
1083,The hardest part of preparing for disasters is overcoming human nature,1
1084,Harvey: This is probably the worst US flood storm ever; I’ll never be the same,1
1085,The US government knows climate change is ravaging the planet,1
1086,"Hurricane Maria killed more than 4,600 people, not 64. That’s more than 70 times the official estimate.",1
1087,Brad Pitt’s housing nonprofit Make It Right faces lawsuit,0
1088,FEMA head Brock Long's job in jeopardy with the agency in crisis mode over Hurricane Florence,1
1089,6 Baby Names That Have Tanked In Popularity,0
1090,"2018 hurricane season will be 'slightly above-average,' researchers say",1
1091,"Unable To Prove They Own Their Homes, Puerto Ricans Denied FEMA Help",1
1092,Trump’s Human Toll,1
1093,What exactly are “preppers” prepping for?,0
1094,A woman reportedly died of flesh-eating bacteria after eating raw oysters — here's how concerned you should be,0
1095,San Juan mayor says that deaths following Hurricane Maria still haunt her,1
1096,How hurricane names are 'retired' from use for future storms,1
1097,Hurricanes can cause former drug users to relapse — here's how North Carolina will keep that from happening,0
1098,Factbox: Virginia governor latest to feel consequences of blackface stunt,1
1099,Cajun Navy races to the Carolinas; citizen rescuers pull people from rising waters - Washington Post,0
1100,"U.S. Spent a Record $306 Billion on Natural Disasters in 2017, Government Confirms",1
1101,MAGA no more? Kanye West donates to Democratic Chicago mayoral candidate just weeks after embracing President Trump,0
1102,Should You Rebuild After a Hurricane or Just Move On?,1
1103,Major flooding lingering more than a week after Florence - Fox News,1
1104,Why It’s So Hard to Calculate Death Tolls From a Hurricane,1
1105,Why Stay During A Hurricane? Because It's Not As Simple As 'Get Out',1
1106,Roland Bourgeois Jr. Gets 10-Year Sentence In Post-Katrina Shooting Of Black Men,0
1107,Hurricane Florence Is Exposing Major Problems With How We Categorize Storms,1
1108,Hurricane Florence is a Category 4 storm — here's what those category labels really mean,1
1109,"Harry Anderson, ‘Night Court’ Actor Who Bottled Magic On Screen and Off, Dies at 65",0
1110,A Look Back at Hurricane Harvey: One Year Since Landfall,1
1111,John Legend's texts to Kanye West proves he's as kind and perfect as he seems,0
1112,"Xi Jinping, Winter Olympics, Weinstein Company: Your Monday Briefing",0
1113,"Trump, you need NATO more than ever",0
1114,South Carolina won’t evacuate prison for Hurricane Florence,1
1115,"‘American Crime Story’ Producers Talk Versace, Hurricane Katrina and Monica Lewinsky [Interview]",1
1116,Opinion: Watching 'A Wrinkle in Time' is a political act,1
1117,Why Hurricane Florence Is So Dangerous,1
1118,Five things to know today,0
1119,The Hurricane in My Backyard,1
1120,This scientist thinks we need to move people away from the coast,1
1121,FEMA's response to Hurricane Maria won't get initial review under watchdog agency's new approach,1
1122,Hang Up and Listen: The Everyone Is Going Through Something Edition,0
1123,SURFACING: Meet New Orleans’s All-Female Biker Club,0
1124,"A college student was reportedly hospitalized after her roommate poured bleach into her eyes, police say",0
1125,"It Could Happen to You: A Raw, Pointed Revival at Alvin Ailey",0
1126,FEMA Isn’t Ready for Hurricane Season to Start,1
1127,"Trump describes response to Hurricane Maria as 'fantastic,' a day after higher death count",1
1128,"Trump Says Hurricane Maria Death Toll of 3,000 Is a Democratic Conspiracy “to Make Me Look Bad”",1
1129,PHOTOS: Slideshow: Worst hurricanes in US history,1
1130,"The Mayor Of San Juan Asked If Trump Was Proud That 2,975 Died In Hurricane Maria",1
1131,Florida Secretary of State Michael Ertel resigns after Halloween blackface photos emerge,1
1132,Jason Momoa Weighs In on the Future of His DCEU Co-Stars,0
1133,Storm surge a deadly threat from Hurricane Michael along Florida's Gulf Coast,1
1134,Warren Buffett: 'What counts are brains and capital',0
1135,President Trump and Kanye West now buddies on Twitter - CNET,0
1136,President Incorrectly Believes The Government Is Mishandling Funds,0
1137,"Nightmarish, destructive 2017 hurricane season comes to an end",1
1138,Donald Trump is using his power and our government to dehumanize people who aren't white,0
1139,News media fail: 'Roseanne' flap eclipses shocking study on Puerto Rico hurricane deaths,1
1140,"Preparing for Florence, FEMA also tries to recover a reputation bruised by response to Maria",1
1141,New study on Hurricane Maria puts administration's response back in the spotlight,1
1142,"Why you got a Trump text: FEMA's new test alert, explained - CNET",0
1143,What to expect from the Wireless Emergency Alert test Wednesday - CNET,0
1144,The Women’s March just pissed off women on Twitter again (this time over Barbara Bush),0
1145,"Spike Lee goes on an epic, profanity-laced Trump rant at Cannes",0
1146,Puerto Rican Mayor Shreds Trump Over New Hurricane Death Toll Study,1
1147,Zurich extends sponsorship of New Orleans PGA event to 2026,0
1148,"Trump’s tweetstorm on the storm: Hurricane Florence ‘very dangerous,’ ‘very bad’",1
1149,"Marco Rubio, Ivanka Trump, Ice Hockey: Your Thursday Briefing",0
1150,"Hurricane Maria Contributed to Nearly 5,000 Deaths, Researchers Say",1
1151,How A Flooded Toyota 86 Got A Second Life As A Race Car For Charity,0
1152,"Hurricane Michael: FEMA says Florida's Bay County, Mexico City unsafe to return yet",1
1153,"Trump says US response to Puerto Rico hurricanes was 'incredible, unsung success' - Fox News",1
1154,"If you want to really help people after Hurricane Florence, donate cash — don't send food and diapers",1
1155,The 52 Places Traveler: Starting an Intimidating World Tour in the Big Easy,0
1156,The Quiet Heroism of Mail Delivery,0
1157,Joy Behar Under Fire After Photo of Her in Blackface Resurfaces,0
1158,Ertel resigns after blackface photographs emerge,0
1159,Florida cops charged after one punched teen and another tried to destroy the evidence,0
1160,Climate change 'impacts women more than men',0
1161,Florida fisherman reels in WWII hand grenade and brings it to Taco Bell,0
1162,"Puerto Rico acknowledges much higher death toll from Hurricane Maria: 1,427 fatalities",1
1163,"In Sex Abuse Cases, an Expiration Date is Often Attached",0
1164,"FEMA Administrator Brock Long's travel subject of IG investigation, Politico reports",0
1165,"The Best Look yet at the Air Jordan 3 ""Katrina""",0
1166,"Cajun Navy mobilizes volunteers, boats to Carolinas ahead of Hurricane Florence",1
1167,The EPA Is Making A Special Coin To Celebrate Its Hurricane Response. Parts Of Puerto Rico Still Don’t Have Power.,1
1168,2017's onslaught of disasters stretched FEMA to its limits,0
1169,Gun stores present a target for looters in hurricanes,0
1170,"Nearly 3,000 people died in Puerto Rico in the wake of Hurricane Maria",1
1171,Former Saint Gleason's Congressional Gold Medal official,0
1172,"Cities Can Alter Hurricanes, Intensifying Their Rainfall",0
1173,"For New Schools Chancellor, New York City Is a Big Leap",0
1174,Families Are Getting Better at Preparing for Hurricanes,1
1175,The Worst Hurricanes In U.S. History,1
1176,"New Orleans celebrates 300 years of survival from storms, floods, revolts and newcomers",0
1177,Barbara Bush: Tributes after former US first lady dies,0
1178,Annette Bening explains why she was written out of American Crime Story: Katrina,0
1179,"The Air Jordan 3 ""Katrina"" Finally Has a Release Date",0
1180,Researchers Are Still Counting the Dead From Hurricane Maria,1
1181,I Know Climate Change Exacerbates Inequality. I See It Happening in My Hometown.,0
1182,"GOP Sen. Says Migrant Family Separations Not So Bad, Then Admits He Has No Clue",0
1183,A scientist who’s flown into 18 big storms says Hurricane Michael had the craziest turbulence — but those bumpy rides could help forecasters unravel a mystery,1
1184,State Unemployment since 1976,0
1185,Hurricane Florence made landfall in North Carolina. What's next for the weekend?,1
1186,Trump: Storm response in Puerto Rico 'incredibly successful' - AOL,1
1187,'I'm making a giant peace sign': A man has hacked away at Maine's ice disk with a chainsaw and ax,0
1188,Why California Has More Wildfires Than Finland,0
1189,"Nevada City, California's 'Goat Fund Me' to Prevent Fires",0
1190,Matter: ‘Lifeboats’ Amid the World’s Wildfires,0
1191,What Trump Gets Wrong About California's Wildfires,0
1192,"To Prevent Wildfires, Treat Utilities Like Railroad Barons",1
1193,How to Reunite With Pets Lost in the California Wildfires,0
1194,California Today: California Today: The Human Element in California’s Wildfires,1
1195,How to Help People Affected by the California Wildfires,1
1196,Rain Soaks California Region Scarred by Wildfires,1
1197,California's Wildfires Are Creating an Air Pollution Nightmare,1
1198,California Today: California Today: Your Questions About Fires and Climate,1
1199,California's 2018 Was the Worst Ever Recorded for Wildfires,1
1200,California Today: ‘It’s Really About the State for Me’: Dianne Feinstein on Running Again,0
1201,California Today: California Today: Guiding L.A. Through a Crisis,0
1202,California Today: California Today: A Mayor for a City in Transition,0
1203,"California Today: California Today: In Picking L.A., Did LeBron Choose Comfort Over Legacy?",0
1204,California Today: California Today: Diagnosing California’s G.O.P.,0
1205,"As California burns, climate goals may go up in smoke—even after the flames are out",1
1206,"Wet Winters No Longer Protect California From Brutal Wildfire Seasons, Study Finds",1
1207,Construction Workers Toil Away in San Francisco's Toxic Air,1
1208,California Today: California Today: Price Gouging Complaints After the Wildfires,1
1209,California Today: California Today: 100 Million Dead Trees Prompt Fears of Giant Wildfires,1
1210,In pictures: Wildfires devastate southern California,1
1211,"California, N.F.L., ‘Insatiable’: Your Friday Briefing",1
1212,Destructive rainfall pummels Southern California after massive wildfires,1
1213,The Carr Fire Is Officially One of the 10 Worst Wildfires in California History,1
1214,Have You Been Affected by the Wildfires in California?,1
1215,Dramatic photos show the devastating Southern California wildfires from space,1
1216,"To Avoid More California Wildfires, a Utility Tries Shutting Off the Power",1
1217,Get Real-Time Smoke Reports From the California Wildfires Using These Maps,1
1218,Record-Breaking Heat in California Led to Home-Destroying Wildfires,1
